"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
-18.525979,1.112383,17.830167,6.04715,-14.094759,10.981918,-0.297551,18.535134,7.054246,14.607462,-28.596933,-74.016938,17.1252,2.723735,-6.843671,-7.548638,5.745022,3.025864,-5.836576,7.054246,7.658503,-14.094759,-2.211032,7.658503,-4.426642,17.930877,9.169146,2.723735,7.054246,4.637217,36.763561,-11.47631,6.14786,-1.808194,-2.211032,1.515221,-4.93019,-3.822385,19.743648,6.14786,44.921034,34.547951,-19.835203,-10.670634,18.233005,-33.128863,43.913939,7.154955,45.323873,3.428702,-37.257954,2.119478,12.190433,-9.764248,-10.872053,-17.116045,1.011673,19.743648,-15.706111,-23.057908,54.79057,29.210346,-12.886244,-50.652323,20.650034,1.313802,-3.822385,24.476997,28.001831,-29.402609,20.045777,-23.158618,-35.646601,2.421607,-15.706111,15.916686,-18.828107,-11.47631,15.916686,34.447242,45.223163,-8.455024,26.793316,10.276951,74.227512,-26.784161,22.865644,28.706798,9.672694,9.672694,1.817349,-22.856489,24.376287,-5.333028,-1.908904,-63.341726,1.112383,47.237354,-7.1458,21.455711
-3.318837,0.709544,22.261387,4.536507,-8.656443,12.291142,13.902495,2.220188,1.011673,-4.225223,-25.172808,-75.729,16.017395,0.910964,-11.174182,-8.253605,17.729457,1.313802,-10.872053,8.665598,5.543603,-9.36141,-7.04509,10.780499,-5.735866,17.528038,13.499657,0.910964,7.658503,5.140764,33.943694,-10.771344,3.83154,-5.131609,-1.606775,3.630121,-10.267796,-3.822385,17.729457,2.623026,45.92813,35.051499,-31.718929,-9.965667,14.406042,-43.804074,40.993362,4.637217,39.784848,-8.152895,-40.782788,5.241474,12.69398,-10.972763,-17.418174,-18.727398,6.349279,26.894026,-14.396887,-19.130236,61.840238,31.425956,-15.001144,-64.449531,12.391852,-3.117418,-5.735866,24.376287,33.842985,-7.447929,21.254292,-37.560082,-41.185626,22.059968,-17.619593,19.642939,-11.67773,-12.886244,15.916686,29.915312,46.834516,-6.944381,23.77203,9.068437,81.579309,-27.08629,25.282673,26.692607,7.356374,6.349279,1.817349,-14.296178,20.247196,-0.49897,-3.016709,-60.32044,1.213092,47.035935,-16.612497,19.139391
12.895399,-0.901808,24.779126,4.737926,-7.04509,16.319524,24.879835,-0.700389,-4.124514,-1.506066,-22.050813,-69.988556,8.665598,-0.297551,-11.879149,-0.096132,21.254292,0.407416,-8.354315,14.305333,11.989013,-9.159991,-12.382696,10.57908,-6.340124,15.916686,13.096818,-0.49897,8.665598,5.845731,28.404669,-10.368505,2.220188,-17.720302,-4.023804,3.227283,-8.757153,-1.002518,20.247196,2.925154,48.14374,37.770657,-43.804074,-7.04509,11.686885,-41.387045,38.979171,5.040055,43.71252,-22.856489,-40.077821,-1.203937,12.089723,-8.152895,-22.453651,-11.879149,9.269856,28.505379,-11.073472,-11.879149,55.797665,26.289769,-14.195468,-74.016938,-16.511788,-1.103227,-6.037995,19.743648,36.360723,13.600366,14.204623,-49.645228,-39.574273,11.384756,-24.266423,17.427329,-8.152895,-14.094759,12.089723,24.577706,44.316777,-18.828107,16.017395,6.14786,78.255894,-19.935912,20.750744,28.001831,10.47837,4.838636,-7.1458,-3.117418,20.045777,17.22591,-5.937285,-65.960174,-10.972763,43.309682,-23.460746,18.031586
33.037308,0.004578,18.837262,8.867018,-3.117418,17.628748,-5.131609,31.224536,7.859922,-12.986954,-18.828107,-58.306249,8.967727,-0.398261,-3.318837,1.515221,16.017395,-2.311742,-4.023804,5.442893,11.284047,-14.699016,-12.483406,6.14786,-5.735866,19.743648,14.305333,-4.124514,9.169146,3.93225,25.98764,-7.750057,1.011673,-20.137331,-5.635157,1.61593,-7.750057,3.227283,23.671321,2.623026,48.949416,37.06569,-47.731746,-5.333028,10.881208,-43.904784,31.526665,0.004578,46.834516,-35.143053,-29.503319,1.61593,13.096818,-7.347219,-19.432364,-5.0309,17.628748,28.404669,-11.67773,-4.124514,66.976425,26.491188,-11.57702,-75.024033,-35.042344,0.004578,-15.303273,20.045777,34.95079,16.420233,1.918059,-45.818265,-34.337377,27.699702,-27.589838,16.420233,-0.297551,-18.727398,16.823072,26.894026,43.410391,-12.181277,13.701076,1.817349,83.5935,-20.640879,17.528038,29.713893,6.14786,11.686885,-6.742962,2.119478,9.370565,23.469902,-5.836576,-56.795605,-15.202564,39.986267,-25.072099,17.22591
45.525292,3.529412,17.024491,11.284047,-1.908904,23.973449,-5.433738,32.030213,10.377661,9.773403,-22.352941,-40.883497,5.644312,-2.311742,-3.318837,4.637217,14.506752,13.600366,-4.225223,-12.584115,14.808881,-11.274891,-12.986954,7.054246,-0.398261,18.937972,11.586175,-8.052186,11.384756,-0.801099,23.268482,-7.24651,1.817349,-20.943008,-5.735866,2.623026,-12.080568,9.672694,22.764935,9.672694,44.618906,33.641565,-43.199817,-2.513161,15.413138,-43.804074,28.706798,-5.333028,40.086976,-39.775692,-13.79263,1.112383,12.492561,-8.958572,-21.647974,10.780499,21.355001,27.498283,-7.649348,1.011673,65.062943,13.197528,-15.001144,-73.311971,-7.24651,-6.742962,-18.525979,17.1252,28.001831,12.69398,6.852827,-40.077821,-32.927443,19.945067,-27.791257,11.989013,6.953536,-21.446555,19.945067,28.505379,35.051499,-7.04509,12.190433,-1.707485,80.068666,-22.252232,13.398947,30.922408,8.464179,8.26276,-3.721676,10.276951,7.759213,25.886931,-3.520256,-43.904784,-20.943008,36.562142,-31.013962,15.916686
42.000458,7.255665,13.398947,16.722362,1.918059,21.65713,4.032959,11.485466,13.398947,27.901121,-37.056535,-29.3019,12.291142,-8.656443,-2.71458,4.838636,6.852827,11.787594,-10.771344,-22.55436,18.837262,-12.584115,-14.195468,5.644312,2.925154,20.650034,9.672694,-7.850767,12.996109,-4.325933,25.383383,-10.872053,2.925154,-10.267796,-8.555734,2.522316,-15.90753,10.276951,21.858549,13.197528,37.06569,28.706798,-45.415427,2.119478,15.614557,-36.351568,28.505379,-4.628061,39.583429,-36.049439,-5.131609,-3.620966,9.874113,-10.066377,-21.345846,24.980545,20.448615,24.779126,-6.138705,8.867018,62.444495,-1.203937,-13.289082,-70.492104,13.197528,-7.951476,-13.188373,18.535134,17.930877,9.370565,-0.59968,-31.114672,-37.660792,15.413138,-27.992676,7.960632,9.169146,-22.453651,22.563516,35.655756,23.77203,6.04715,12.190433,-2.412451,79.464408,-24.568551,3.025864,28.807507,14.305333,7.356374,-2.211032,18.333715,4.637217,24.879835,-3.318837,-22.65507,-17.216754,28.20325,-31.215381,16.823072
42.000458,7.457084,19.038682,12.492561,3.327993,20.347906,-6.843671,11.686885,15.0103,31.224536,-38.667887,-29.402609,12.089723,-13.490501,-3.117418,0.205997,8.867018,6.14786,-9.764248,-42.192722,19.240101,-6.239414,-11.47631,7.557793,7.960632,17.729457,6.550698,-8.152895,15.513847,-5.735866,24.980545,-7.24651,1.112383,-7.850767,-11.47631,0.508125,-21.043717,5.140764,18.031586,15.715267,23.973449,20.045777,-41.185626,5.644312,16.722362,-21.345846,26.491188,-6.541543,35.252918,-36.552987,-4.124514,-4.82948,1.414511,-7.850767,-15.504692,25.886931,16.823072,22.865644,-1.203937,8.26276,57.811856,-12.684825,-15.202564,-58.608377,10.47837,-10.167086,-13.188373,22.865644,19.139391,8.766308,13.499657,-27.690547,-42.092012,-10.771344,-32.121767,7.859922,12.79469,-23.662165,26.994736,40.086976,11.384756,8.061341,10.276951,-1.506066,78.960861,-23.964294,4.234379,28.606088,11.989013,4.536507,-1.908904,20.347906,-4.325933,24.376287,-7.850767,-9.159991,-21.950103,19.44152,-28.999771,16.520943
36.864271,10.176242,23.77203,8.564889,5.644312,20.650034,9.571984,22.059968,11.284047,11.787594,-42.49485,-27.891966,11.989013,-15.90753,-5.0309,-0.398261,-3.620966,7.054246,-7.04509,-44.307622,14.305333,-5.433738,-8.052186,9.874113,10.276951,11.989013,4.838636,-5.735866,18.635843,-6.541543,23.369192,-4.93019,-0.49897,3.025864,-13.994049,2.421607,-19.533074,-12.986954,9.974823,17.628748,6.349279,14.204623,-30.812543,9.370565,21.65713,-3.218128,30.116731,-7.649348,39.885557,-32.927443,-6.239414,-4.426642,-2.110323,-1.203937,-14.900435,27.196155,12.291142,16.420233,4.335088,12.996109,43.108263,-19.130236,-17.720302,-44.307622,11.082628,-5.937285,-19.734493,21.65713,13.499657,13.902495,11.082628,-17.317464,-45.012589,7.154955,-29.805448,7.255665,6.04715,-20.137331,26.692607,42.302586,-0.096132,3.529412,9.773403,-7.850767,73.119707,-20.842298,2.220188,29.109636,27.296864,2.421607,-3.419547,20.851453,-8.152895,29.311055,-12.483406,-6.340124,-39.977112,10.377661,-29.503319,14.406042
34.447242,4.939345,22.966354,10.47837,8.564889,19.542229,-1.002518,38.475624,19.44152,0.608835,-33.028153,-22.151522,10.981918,-11.274891,-1.707485,-0.49897,-3.923095,-1.908904,-5.635157,-45.314717,18.031586,-4.124514,-4.527352,11.384756,7.859922,0.508125,4.133669,-2.915999,15.111009,-7.649348,24.779126,-1.707485,-0.196841,16.520943,-11.979858,1.918059,-19.230945,-27.287709,11.384756,18.837262,-4.628061,10.47837,-15.403983,12.895399,19.844358,6.248569,34.85008,-9.159991,43.309682,-20.741589,-1.707485,2.220188,-4.225223,4.133669,-13.087663,22.160677,13.902495,14.708171,4.435798,11.082628,44.820325,-12.281987,-18.022431,-24.467842,-1.606775,-3.419547,-18.727398,20.146487,11.586175,13.398947,-0.096132,-2.81529,-44.609751,-5.836576,-32.222477,6.248569,5.140764,-22.856489,23.87274,45.82742,-6.138705,0.407416,-0.398261,-10.569925,76.241703,-20.33875,-1.203937,31.929503,24.779126,0.910964,-7.347219,16.520943,-9.663539,19.642939,-14.497597,-9.46212,-47.832456,2.220188,-26.582742,12.895399
35.051499,8.162051,22.059968,19.34081,4.234379,17.528038,-2.110323,28.807507,23.268482,-21.547265,-26.884871,-24.971389,7.759213,-9.764248,-3.318837,1.011673,-4.93019,11.183337,-15.303273,-43.904784,14.708171,-0.196841,0.407416,15.715267,10.780499,-10.066377,8.867018,-5.333028,11.384756,-6.944381,25.685511,-2.71458,0.407416,17.1252,-11.073472,0.407416,-23.964294,-40.480659,11.485466,13.398947,-18.12314,4.032959,-2.412451,10.679789,18.535134,6.852827,36.058595,-10.771344,39.885557,-3.016709,-0.196841,3.93225,-2.513161,12.391852,-12.684825,22.462806,15.916686,13.298238,5.040055,10.276951,45.021744,-15.001144,-25.777066,-14.094759,26.08835,-4.124514,-18.626688,14.003204,7.154955,10.075532,1.414511,3.327993,-40.883497,-12.584115,-29.20119,2.320897,-2.412451,-23.662165,22.059968,47.438773,-1.506066,-5.836576,-5.131609,-8.455024,64.055848,-20.43946,-2.211032,31.224536,23.067063,-5.131609,-1.808194,9.471275,-11.57702,16.722362,-16.310369,-9.46212,-47.631037,5.845731,-27.489128,11.384756
