"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
78.95813,-54.486084,11.303711,72.149658,-36.221313,-41.177368,-44.998169,-8.981323,18.429565,66.165161,42.282104,4.63562,11.972046,35.952759,-43.463135,53.659058,-51.959229,9.988403,-67.669678,-64.865112,12.136841,19.937134,39.758301,49.899292,26.135254,17.901611,-63.555908,-45.092773,53.729248,-41.491699,-31.463623,34.259033,-8.551025,-33.050537,-53.799438,-41.424561,-12.054443,17.626953,-21.899414,19.091797,48.480225,10.571289,-52.554321,-29.107666,-39.013672,-11.868286,0.65918,27.349854,-9.130859,-62.802124,-22.821045,-68.478394,-61.651611,12.176514,41.818237,21.463013,41.33606,13.876343,0.054932,-0.775146,-33.282471,-1.220703,58.48999,31.335449,-33.349609,66.134644,-51.99585,34.848022,43.1427,-48.672485,49.719238,-47.180176,-31.494141,-18.002319,11.77063,20.623779,17.245483,-63.415527,-4.675293,-8.905029,-40.097046,-30.862427,-4.034424,37.738037,24.371338,-57.556152,32.080078,51.495361,-30.435181,-40.963745,-13.140869,38.458252,-46.612549,26.135254,-16.699219,27.252197,-49.151611,-32.525635,15.570068,-29.034424
78.95813,-54.486084,9.591675,72.149658,-36.221313,-44.271851,-48.324585,18.972778,16.107178,61.328125,42.282104,1.675415,9.552002,35.952759,-43.463135,53.659058,-51.959229,9.988403,-67.669678,-64.865112,12.136841,19.937134,39.758301,49.899292,26.135254,17.901611,-67.562866,-45.092773,53.729248,-41.491699,-31.463623,34.259033,-8.551025,-33.050537,-53.799438,-43.701172,-12.054443,17.626953,-24.435425,33.605957,48.480225,10.571289,-52.554321,-31.298828,-41.455078,-11.868286,0.65918,27.349854,-9.130859,-58.132935,-26.16272,-63.043213,-61.270142,11.325073,45.635986,21.463013,37.762451,12.11853,0.054932,-4.02832,-33.282471,-1.220703,55.752563,31.335449,-33.349609,66.134644,-51.99585,34.848022,40.792847,-52.426147,49.719238,-47.180176,-16.116333,-18.002319,11.77063,20.623779,17.245483,-63.415527,-4.675293,-8.905029,-40.097046,-30.862427,-4.034424,37.738037,24.371338,-57.556152,32.080078,53.128052,-9.9823,-43.319702,-13.140869,38.458252,-46.612549,26.022339,-18.82019,25.543213,-49.151611,-32.525635,14.102173,-32.095337
78.95813,-54.486084,9.591675,68.301392,-36.221313,-44.271851,-48.324585,18.972778,16.107178,61.328125,42.282104,1.675415,9.552002,30.654907,-47.567749,49.432373,-53.497314,7.434082,-70.953369,-70.193481,28.302002,19.937134,39.758301,49.899292,26.135254,16.8396,-67.562866,-48.855591,52.929688,-45.43457,-31.463623,34.259033,-8.551025,-33.050537,-53.799438,-43.701172,-12.054443,17.626953,-24.435425,33.605957,48.480225,10.571289,-39.492798,-31.298828,-41.455078,-14.904785,-1.904297,27.39563,-11.340332,-58.132935,-26.16272,-63.043213,-61.270142,11.325073,45.635986,21.463013,37.762451,12.11853,-3.302002,-4.02832,-33.282471,-3.665161,55.752563,31.335449,-37.167358,67.807007,-51.99585,37.255859,40.792847,-52.426147,49.597168,-47.320557,-16.116333,-18.002319,11.923218,18.969727,17.041016,-64.761353,-4.675293,-8.905029,-40.097046,-30.862427,-7.293701,38.171387,24.371338,-57.556152,32.034302,53.128052,-9.9823,-43.319702,-16.159058,33.612061,-49.304199,26.022339,-18.82019,25.543213,-52.920532,-35.678101,14.102173,-32.095337
76.312256,-33.364868,9.591675,68.301392,-37.539673,-44.271851,-48.324585,18.972778,16.107178,61.328125,42.282104,1.675415,9.552002,30.654907,-47.567749,49.432373,-53.497314,7.434082,-70.953369,-70.193481,28.302002,19.937134,39.758301,58.358765,20.605469,16.8396,-67.562866,-48.855591,52.929688,-45.43457,-10.232544,34.240723,-11.99646,-36.080933,-54.916382,-43.701172,-12.054443,15.313721,-24.435425,33.605957,48.480225,24.990845,-39.492798,-31.298828,-41.455078,-14.904785,-1.904297,27.39563,-11.340332,-58.132935,-26.16272,-63.043213,-61.270142,11.325073,45.635986,20.779419,37.762451,12.11853,-3.302002,-4.02832,-33.282471,-3.665161,55.752563,31.335449,-37.167358,67.807007,-34.744263,37.255859,40.792847,-52.426147,49.597168,-47.320557,-16.116333,-5.380249,11.923218,18.969727,17.041016,-64.761353,-5.413818,-12.063599,-23.876953,-33.459473,-7.293701,38.171387,24.371338,-62.255859,32.034302,53.128052,-9.9823,-43.319702,-16.159058,33.612061,-49.304199,26.022339,-18.82019,25.543213,-52.920532,-35.678101,14.102173,-32.095337
76.312256,-33.364868,9.051514,68.301392,-37.539673,-48.086548,-51.550293,43.35022,13.616943,55.46875,37.155151,-1.849365,7.244873,30.654907,-47.567749,49.432373,-53.497314,7.434082,-70.953369,-70.193481,28.302002,15.22522,36.541748,58.358765,20.605469,16.8396,-70.370483,-48.855591,52.929688,-45.43457,-10.232544,34.240723,-11.99646,-36.080933,-54.916382,-46.09375,-14.630127,15.313721,-26.809692,43.490601,45.373535,24.990845,-39.492798,-33.532715,-44.494629,-14.904785,-1.904297,27.39563,-11.340332,-58.132935,-29.360962,-50.750732,-55.209351,10.05249,46.405029,20.779419,34.155273,9.921265,-3.302002,-4.02832,-35.888672,-3.665161,52.532959,31.152344,-37.167358,67.807007,-34.744263,37.255859,38.009644,-55.706787,49.597168,-47.320557,-16.116333,-5.380249,11.923218,18.969727,17.041016,-64.761353,-5.413818,-12.063599,-23.876953,-33.459473,-7.293701,38.171387,23.480225,-62.255859,32.034302,53.128052,-9.9823,-45.095825,-16.159058,33.612061,-49.304199,25.866699,-20.883179,22.958374,-52.920532,-35.678101,12.426758,-34.805298
76.312256,-33.364868,9.051514,64.376831,-37.539673,-48.086548,-51.550293,43.35022,13.616943,55.46875,37.155151,-1.849365,7.244873,30.654907,-51.394653,44.137573,-56.646729,4.486084,-68.151855,-72.683716,28.302002,15.22522,36.541748,58.358765,20.605469,15.692139,-70.370483,-51.980591,52.929688,-48.925781,-10.232544,34.240723,-11.99646,-36.080933,-54.916382,-46.09375,-14.630127,15.313721,-26.809692,43.490601,45.373535,24.990845,-22.140503,-33.532715,-44.494629,-17.797852,-4.61731,26.78833,-13.885498,-47.485352,-29.360962,-50.750732,-55.209351,10.05249,46.405029,20.779419,34.155273,9.921265,-6.561279,-7.397461,-35.888672,-6.121826,52.532959,31.152344,-41.143799,67.834473,-34.744263,39.450073,38.009644,-55.706787,49.032593,-43.148804,-2.386475,-5.380249,11.44104,17.144775,16.500854,-61.529541,-5.413818,-12.063599,-23.876953,-33.459473,-7.293701,38.171387,23.480225,-62.255859,31.533813,54.150391,11.132813,-45.095825,-19.158936,29.031372,-51.763916,25.866699,-20.883179,22.958374,-56.552124,-39.18457,12.426758,-34.805298
72.698975,-6.985474,9.051514,64.376831,-37.539673,-48.086548,-51.550293,43.35022,13.616943,55.46875,37.155151,-1.849365,7.244873,25.674438,-51.394653,44.137573,-56.646729,4.486084,-68.151855,-72.683716,39.050293,15.22522,36.541748,58.358765,15.438843,15.692139,-70.370483,-51.980591,51.422119,-48.925781,10.620117,33.139038,-15.658569,-39.474487,-51.083374,-46.09375,-14.630127,12.988281,-26.809692,43.490601,45.373535,24.990845,-22.140503,-33.532715,-44.494629,-17.797852,-4.61731,26.78833,-13.885498,-47.485352,-29.360962,-50.750732,-55.209351,10.05249,46.405029,19.342041,34.155273,9.921265,-6.561279,-7.397461,-35.888672,-6.121826,52.532959,31.152344,-41.143799,67.834473,-14.859009,39.450073,38.009644,-55.706787,49.032593,-43.148804,-2.386475,6.402588,11.44104,17.144775,16.500854,-61.529541,-6.289673,-15.002441,-5.810547,-36.11145,-10.391235,38.894653,23.480225,-62.255859,31.533813,54.150391,11.132813,-45.095825,-19.158936,29.031372,-51.763916,25.866699,-20.883179,22.958374,-56.552124,-39.18457,12.426758,-34.805298
72.698975,-6.985474,9.411621,64.376831,-38.891602,-48.086548,-54.208374,60.891724,10.723877,49.285889,32.571411,-1.849365,4.974365,25.674438,-51.394653,44.137573,-56.646729,4.486084,-68.151855,-72.683716,39.050293,10.696411,33.178711,61.709595,15.438843,15.692139,-69.857788,-51.980591,51.422119,-48.925781,10.620117,33.139038,-15.658569,-39.474487,-51.083374,-49.401855,-17.202759,12.988281,-28.723145,49.380493,41.726685,34.945679,-22.140503,-35.943604,-48.242188,-17.797852,-4.61731,26.78833,-13.885498,-47.485352,-29.360962,-50.750732,-42.614746,8.377075,45.81604,19.342041,30.62439,7.345581,-6.561279,-7.397461,-36.419678,-6.121826,48.797607,30.493164,-41.143799,67.834473,-14.859009,39.450073,35.021973,-58.743286,49.032593,-43.148804,-2.386475,6.402588,11.44104,17.144775,16.500854,-61.529541,-6.289673,-15.002441,-5.810547,-36.11145,-10.391235,38.894653,22.122192,-66.131592,31.533813,54.150391,11.132813,-45.095825,-19.158936,29.031372,-51.763916,25.866699,-23.226929,19.589233,-56.552124,-39.18457,10.580444,-37.380981
72.698975,-6.985474,9.411621,60.412598,-38.891602,-52.322388,-54.208374,60.891724,10.723877,49.285889,32.571411,-5.618286,4.974365,25.674438,-51.394653,44.137573,-61.032104,1.483154,-56.622314,-68.417358,39.050293,10.696411,33.178711,61.709595,15.438843,14.291382,-69.857788,-54.458618,51.422119,-51.779175,10.620117,33.139038,-15.658569,-39.474487,-51.083374,-49.401855,-17.202759,12.988281,-28.723145,49.380493,41.726685,34.945679,-22.140503,-35.943604,-48.242188,-17.797852,-7.427979,25.549316,-16.638184,-31.530762,-32.662964,-32.333374,-42.614746,8.377075,45.81604,19.342041,30.62439,7.345581,-9.753418,-10.873413,-36.419678,-8.544922,48.797607,30.493164,-41.143799,66.439819,-14.859009,39.450073,35.021973,-58.743286,48.065186,-34.228516,8.053589,6.402588,11.44104,17.144775,15.484619,-52.44751,-6.289673,-15.002441,-5.810547,-36.11145,-10.391235,38.894653,22.122192,-66.131592,30.718994,54.489136,29.632568,-46.749878,-21.966553,25.024414,-54.681396,25.262451,-23.226929,19.589233,-59.701538,-42.825317,10.580444,-37.380981
67.971802,20.474243,9.411621,60.412598,-38.891602,-52.322388,-54.208374,60.891724,10.723877,49.285889,32.571411,-5.618286,4.974365,21.585083,-54.260254,37.902832,-61.032104,1.483154,-56.622314,-68.417358,44.628906,10.696411,33.178711,61.709595,11.065674,14.291382,-69.857788,-54.458618,49.200439,-51.779175,10.620117,31.253052,-19.293213,-43.252563,-41.247559,-49.401855,-17.202759,12.988281,-28.723145,49.380493,41.726685,34.945679,-2.944946,-35.943604,-48.242188,-20.794678,-7.427979,25.549316,-16.638184,-31.530762,-32.662964,-32.333374,-42.614746,8.377075,45.81604,17.391968,30.62439,7.345581,-9.753418,-10.873413,-36.419678,-8.544922,48.797607,30.493164,-44.677734,66.439819,4.574585,41.412354,35.021973,-58.743286,48.065186,-34.228516,8.053589,15.481567,10.220337,15.203857,15.484619,-52.44751,-7.345581,-17.959595,11.340332,-39.175415,-13.482666,39.39209,22.122192,-66.131592,30.718994,54.489136,29.632568,-46.749878,-21.966553,25.024414,-54.681396,25.262451,-23.226929,19.589233,-59.701538,-42.825317,10.580444,-37.380981
