"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
33.339437,17.830167,54.589151,-46.623941,7.658503,-16.612497,-3.620966,23.570611,-7.24651,14.103914,69.997711,-18.928817,-16.209659,-21.446555,-10.066377,-30.409705,1.71664,20.247196,4.032959,38.475624,5.745022,-7.447929,-8.152895,-8.253605,3.83154,13.499657,-40.581369,28.505379,-10.167086,-11.073472,25.786221,18.535134,1.313802,-8.253605,-0.901808,-8.152895,-41.890593,15.513847,36.96498,11.586175
31.828794,16.621652,58.416113,-49.745937,4.435798,-16.813916,-0.49897,22.563516,-8.857862,15.413138,68.587777,-20.741589,-10.469215,-25.273518,-15.303273,-39.574273,2.320897,13.197528,1.515221,42.000458,7.154955,-8.857862,-10.368505,-12.281987,5.442893,11.586175,-44.106203,22.462806,-5.0309,-7.850767,26.994736,23.671321,0.810254,-8.354315,-2.412451,-3.620966,-46.92607,7.154955,39.18059,11.586175
27.498283,20.750744,50.157931,-53.371481,2.018769,-10.872053,5.140764,21.858549,-7.548638,20.750744,65.465782,-19.029526,8.162051,-25.575647,-19.935912,-44.509041,4.637217,10.47837,-2.211032,40.590524,10.881208,-11.375601,-12.181277,-12.886244,6.953536,13.902495,-38.768597,-1.908904,-2.311742,-5.735866,22.865644,28.505379,2.723735,-9.965667,-5.433738,-0.700389,-52.162966,-0.700389,40.389105,6.752117
21.858549,22.362097,47.035935,-52.465095,4.637217,-9.2607,10.57908,20.347906,-7.24651,25.383383,58.013275,-20.741589,21.55642,-28.596933,-20.036622,-41.588464,8.464179,4.536507,-4.82948,35.957885,10.276951,-13.89334,-11.174182,-12.080568,11.787594,14.708171,-34.639506,1.817349,2.320897,-5.836576,19.44152,33.943694,3.529412,-13.79263,-6.642252,3.025864,-53.875029,17.326619,42.403296,4.536507
19.038682,23.268482,45.726711,-52.465095,0.910964,-6.541543,19.542229,20.851453,-4.728771,29.713893,49.251545,-15.202564,24.879835,-30.006867,-22.352941,-41.890593,8.564889,3.730831,-0.398261,25.98764,10.176242,-20.43946,-7.750057,-10.469215,13.902495,14.103914,-43.904784,1.112383,4.637217,-5.937285,16.319524,34.95079,1.817349,-18.425269,-5.232319,3.025864,-51.760128,34.145113,43.813229,2.220188
16.520943,24.779126,40.590524,-49.443809,3.025864,-5.232319,26.692607,24.980545,-7.850767,32.533761,47.640192,-15.403983,28.30396,-30.913253,-20.238041,-38.06363,8.061341,-1.002518,-3.318837,7.859922,10.47837,-27.791257,-9.46212,-9.663539,17.729457,15.614557,-45.616846,15.312428,7.759213,-0.59968,14.305333,35.252918,-1.405356,-19.935912,-4.124514,6.349279,-48.336004,26.08835,40.288395,4.234379
20.247196,26.894026,36.360723,-46.825361,4.536507,-2.110323,28.30396,23.570611,-8.958572,35.555047,45.424582,-19.029526,21.757839,-28.899062,-24.568551,-28.496223,7.859922,-16.310369,-3.923095,-8.253605,10.981918,-31.316091,-8.656443,-6.138705,22.261387,18.132296,-40.37995,17.830167,14.406042,1.313802,14.305333,33.842985,-2.613871,-18.928817,-4.124514,10.075532,-42.696269,13.499657,33.037308,5.140764
23.570611,28.706798,34.145113,-41.588464,4.435798,-3.721676,33.440146,27.498283,-9.764248,38.576333,45.424582,-18.525979,22.462806,-25.172808,-27.589838,-13.389792,8.162051,-23.360037,-8.253605,-21.647974,12.996109,-42.49485,-5.937285,-4.93019,27.598993,19.743648,-40.480659,17.830167,13.600366,3.428702,14.305333,30.620279,-3.620966,-18.828107,-3.016709,7.054246,-38.567178,-0.297551,20.146487,6.248569
24.980545,30.116731,30.720989,-31.718929,4.032959,-3.721676,38.677043,27.699702,-14.396887,37.367819,44.115358,-24.971389,18.937972,-26.784161,-20.741589,1.414511,6.349279,-30.913253,-10.670634,-23.259327,16.118105,-42.998398,-2.915999,-4.225223,31.224536,15.211719,-39.171435,12.492561,19.542229,4.133669,14.708171,26.390478,-1.506066,-21.245136,-1.002518,7.960632,-35.545892,4.133669,5.745022,7.557793
27.397574,27.901121,35.152209,-22.755779,0.508125,-3.822385,37.1664,23.067063,-20.43946,34.95079,44.618906,-23.360037,15.916686,-25.273518,-16.108949,8.061341,0.910964,-39.171435,-11.375601,-22.050813,14.506752,-49.443809,0.105287,-0.49897,31.929503,10.780499,-40.27924,15.815976,17.729457,7.960632,14.406042,20.045777,-1.908904,-23.057908,2.623026,9.773403,-33.028153,0.508125,-3.520256,7.457084
