"V3","V4","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
-63.131714,54.623413,-29.650879,4.544067,8.69751,43.215942,37.734985,12.094116,-37.316895,-59.692383,38.394165,15.808105
-63.131714,54.623413,-29.650879,4.544067,5.389404,43.215942,37.734985,12.094116,-37.316895,-63.842773,36.068726,15.808105
-63.131714,54.623413,-29.650879,2.993774,5.389404,43.215942,37.734985,9.552002,-37.316895,-63.842773,36.068726,14.031982
-65.39917,54.910278,-32.571411,2.993774,5.389404,42.074585,37.734985,9.552002,-39.129639,-63.842773,36.068726,14.031982
-65.39917,54.910278,-32.571411,2.993774,1.992798,42.074585,35.20813,9.552002,-39.129639,-68.310547,33.319092,14.031982
-65.39917,54.910278,-32.571411,2.993774,1.992798,42.074585,35.20813,7.000732,-39.129639,-68.310547,33.319092,12.136841
-63.232422,54.421997,-35.787964,1.16272,1.992798,42.074585,35.20813,7.000732,-39.129639,-68.310547,33.319092,12.136841
-63.232422,54.421997,-35.787964,1.16272,1.992798,40.359497,32.275391,7.000732,-41.543579,-71.246338,30.114746,12.136841
-63.232422,54.421997,-35.787964,1.16272,-1.296997,40.359497,32.275391,4.275513,-41.543579,-71.246338,30.114746,12.136841
-54.437256,53.265381,-35.787964,-0.93689,-1.296997,40.359497,32.275391,4.275513,-41.543579,-71.246338,30.114746,10.119629
-54.437256,53.265381,-39.309692,-0.93689,-1.296997,38.153076,29.489136,4.275513,-45.108032,-71.246338,26.63269,10.119629
-54.437256,53.265381,-39.309692,-0.93689,-4.348755,38.153076,29.489136,1.464844,-45.108032,-70.678711,26.63269,10.119629
-54.437256,53.265381,-39.309692,-3.292847,-4.348755,38.153076,29.489136,1.464844,-45.108032,-70.678711,26.63269,7.901001
-38.442993,51.379395,-42.825317,-3.292847,-4.348755,35.623169,27.301025,1.464844,-49.832153,-70.678711,26.63269,7.901001
-38.442993,51.379395,-42.825317,-3.292847,-7.281494,35.623169,27.301025,1.464844,-49.832153,-64.541626,22.964478,7.901001
-38.442993,51.379395,-42.825317,-5.944824,-7.281494,35.623169,27.301025,-1.480103,-49.832153,-64.541626,22.964478,5.444336
-16.918945,48.770142,-45.953369,-5.944824,-7.281494,33.169556,26.11084,-1.480103,-54.47998,-64.541626,22.964478,5.444336
-16.918945,48.770142,-45.953369,-5.944824,-10.269165,33.169556,26.11084,-1.480103,-54.47998,-51.950073,19.488525,5.444336
-16.918945,48.770142,-45.953369,-8.792114,-10.269165,33.169556,26.11084,-4.394531,-54.47998,-51.950073,19.488525,2.685547
6.729126,45.507813,-48.498535,-8.792114,-10.269165,31.173706,26.11084,-4.394531,-56.96106,-51.950073,19.488525,2.685547
6.729126,45.507813,-48.498535,-8.792114,-13.485718,31.173706,25.747681,-4.394531,-56.96106,-33.810425,16.516113,2.685547
6.729126,45.507813,-48.498535,-8.792114,-13.485718,31.173706,25.747681,-7.330322,-56.96106,-33.810425,16.516113,-0.308228
28.463745,41.812134,-50.790405,-11.779785,-13.485718,31.173706,25.747681,-7.330322,-56.96106,-33.810425,16.516113,-0.308228
28.463745,41.812134,-50.790405,-11.779785,-13.485718,29.928589,25.888062,-7.330322,-54.766846,-12.536621,14.456177,-0.308228
28.463745,41.812134,-50.790405,-11.779785,-16.891479,29.928589,25.888062,-10.202026,-54.766846,-12.536621,14.456177,-0.308228
